Longitude,Latitude,Remark
7.985094,45.962862,Macugnaga Borca
7.953363,45.972466,Macugnaga Pecetto
8.012674,45.959342,Macugnaga Pestarena
7.967501,45.968298,Macugnaga Staffa
8.14156,46.048255,Madonna (Valle d'Antrona)
8.712831,45.626322,Malpensa aeroporto
8.326237,46.136796,Masera
8.307941,45.99158,Megolo
8.307941,45.99158,Megolo Mezzo
8.395595,45.986812,Migiandone Bivio
8.32337,46.232132,Miramonti
8.275088,46.123647,Mocogna
8.185892,46.009908,Molini
8.326611,46.165382,Montecrestese
8.336532,46.169505,Nava
8.340763,46.159927,Naviledo
8.315782,46.174697,Oira
8.412661,45.871857,Omegna stazione
8.410911,45.873411,Omegna Ospedale
8.411004,45.876478,Omegna via de Amicis
8.414248,45.971169,Ornavasso
8.414248,45.971169,Ornavasso stazione
8.554776,45.928246,Pallanza Tribunale
8.260482,46.042961,Pallanzeno stazione
8.381444,46.315122,Passo
8.3526,46.279112,Piedilago
8.260862,46.024418,Piedimulera stazione
8.25804,46.021398,Piedimulera piazza Gramsci
8.264066,46.009947,Pieve Vergonte centro
8.304389,46.152888,Ponte di Crevola
8.426911,46.376539,Ponte Formazza
8.1474,45.990483,Pontegrande
8.323451,46.180458,Pontemaglio
8.314202,46.150519,Pontetto di Montecrestese
8.279933,46.0385,Prata di Vogogna
8.196701,46.052944,Prato
8.296209,46.145484,Preglia di Crevoladossola
8.336007,46.267424,Premia
8.415888,46.416956,Riale di Formezza
8.391191,46.3275,Rivasco
8.324332,46.154164,Roldo
8.288192,45.993899,Rumianca
8.133007,45.988189,San Carlo
8.200081,46.126715,San Lorenzo
8.429319,46.36744,San Michele
8.367396,46.302931,San Rocco
8.156605,46.04484,Schieranco
8.214593,46.057266,Seppiana
8.16105,45.994075,Valbianca
8.427514,46.372503,Valdo
8.114947,45.980418,Vanzone
8.114832,45.980509,Varzo stazione
8.57546,45.935929,Verbania Intra imb. Vecchio
8.194345,46.051664,Viganella
8.26307,46.068095,Villadossola Bivio Gaggio
8.258225,46.067294,Villadossola Corso Italia
8.261728,46.063904,Villadossola Centro
8.262974,46.067691,Villadossola Corso Sempione
8.263451,46.071916,Villadossola Stab Sisma
8.261728,46.063904,Villadossola Via B. Novello
8.260554,46.070048,Villadossola Villagio Sisma
8.283509,46.021614,Vogogna bivio FS
8.303687,46.004117,Vogogna/Piedimulera
10.135093,48.300999,Weissenhorn Eschach
9.222943,49.19341,Neckarsulm Mitte
8.161602,49.57622,Asselheim (D)
8.170781,49.573355,Grünstadt-Nord
10.097804,48.317443,Witzighausen
9.982243,48.399432,Ulm ZOB
10.497863,48.850841,Nördlingen
10.71096,48.75621,Ebermergen
10.597832,48.806806,Möttingen
10.653198,48.803817,Hoppingen
10.698455,48.778898,Harburg (Schwab)
10.714478,48.731977,Wörnitzstein
10.771443,48.714026,Donauwörth
10.82518,48.660485,Mertingen Bahnhof
10.837306,48.593434,Nordendorf
10.84805,48.545997,Meitingen
10.872533,48.380772,Augsburg-Oberhausen
10.943376,48.352977,Augsburg-Hochzoll
10.278656,48.460335,Günzburg
10.215369,48.450171,Leipheim
10.118003,48.430141,Nersingen
10.004823,48.393039,Neu-Ulm
10.269707,48.438377,Wasserburg(Günz)
10.288497,48.411659,Kleinkötz
10.298007,48.389121,Hochwang (D)
10.302138,48.370187,Ichenhausen
10.338371,48.34214,Ellzee
10.365536,48.302557,Neuburg(Kammel)
10.358162,48.275562,Billenhausen
10.358619,48.24759,Krumbach (Schwab)
10.361165,48.23542,Krumbach(Schwab)Schule
10.376003,48.481846,Offingen
10.407905,48.455978,Mindelaltheim
10.427012,48.424797,Burgau (Schwab)
10.445473,48.399126,Jettingen
10.5022,48.384704,Freihalden
10.586675,48.342638,Dinkelscherben
10.696338,48.334775,Kutzenhausen
10.732382,48.333715,Gessertshausen
10.776823,48.35609,Diedorf (Schwab)
10.818233,48.385991,Westheim (Schwab)
10.83352,48.394392,Neusäss
10.88557,48.365441,Augsburg Hbf
10.900985,48.355285,Augsburg Haunstetterstrasse
10.959553,48.300922,Kissing
10.988291,48.262698,Mering
11.063003,48.236374,Althegnenberg
11.098784,48.223263,Haspelmoor
11.174618,48.216826,Mammendorf
11.037736,48.105776,Geltendorf
10.716217,48.033723,Buchloe
10.854595,48.080835,Kaufering
10.617439,48.04569,Türkheim (Bay) Bahnhof
10.374503,48.221344,Niederraunau
10.383631,48.201313,Aletshausen
10.38243,48.180467,Haupeltshofen
10.390907,48.162511,Loppenhausen
10.408505,48.138586,Breitenbrunn(Schwab)
10.451825,48.117794,Pfaffenhausen
10.429623,48.125996,Weilbach(Unterallg)
10.482517,48.101004,Hausen(Schwab)
10.503797,48.078066,Nassenbeuren
10.362265,48.289531,Hirschfelden
10.501626,48.044917,Mindelheim
10.026228,48.389993,Neu-Ulm Finninger Strasse
10.037282,48.351332,Gerlenhofen
10.050502,48.324016,Senden
10.1945,48.269558,Weissenhorn
10.083628,48.279088,Vöhringen
10.09039,48.254645,Bellenberg
10.099942,48.222828,Illertissen
10.109983,48.161191,Altenstadt(Iller)
10.124616,48.120286,Kellmünz
10.186853,47.985581,Memmingen
10.253715,47.882468,Bad Grönenbach
10.290481,47.812866,Dietmannsried
10.31761,47.711745,Kempten (Allgäu) Hbf
10.33205,47.731293,Kempten (Allgäu) Ost
10.273777,47.629207,Martinszell (Allgäu)
10.213999,47.559203,Immenstadt
10.258796,47.543741,Blaichach (Allgäu)
10.272344,47.513241,Sonthofen
10.071559,48.314065,Wullenstetten
9.680469,47.544341,Lindau Hbf
9.639062,47.571899,Wasserburg (Bodensee)
9.612676,47.575118,Nonnenhorn
10.280907,47.48855,Altstädten(Allgäu)
10.271717,47.456591,Fischen
10.276032,47.436588,Langenwang (Schwab)
10.278097,47.411032,Oberstdorf
9.228679,49.202096,Neckarsulm Nord
8.118732,49.738134,Alzey Süd
