293;Baar Lindenpark
294;Courtételle
295;Opfikon
296;Courfaivre
297;Courgenay
298;Lausen
299;Frenkendorf-Füllinsdorf
300;Delémont
301;Zürich Stadelhofen
302;Zollikon
303;Winkel am Zürichsee
304;Uetikon
305;Feldbach
306;Aigle
307;Bex
308;Effretikon
309;Richterswil
310;Siebnen-Wangen
311;Reichenburg
312;Zürich Oerlikon
313;Zürich Wiedikon
314;Kilchberg
315;Horgen Oberdorf
316;Wettingen
317;Killwangen-Spreitenbach
318;Glanzenberg
319;Zürich Altstetten
320;Rorschach
321;Buchs SG
322;Wil SG
323;Flawil
324;Altstätten SG
325;St. Margrethen
326;Heerbrugg
327;Bad Ragaz
328;Ziegelbrücke
329;Wädenswil
330;Walenstadt
331;Sion
332;Sierre/Siders
333;Chambrelien
334;Les Hauts-Geneveys
335;Les Geneveys-sur-Coffrane
336;Airolo
337;Erstfeld
338;Faido
339;Ambrì-Piotta
340;Göschenen
341;Dietikon
342;Bülach
343;Flamatt
344;Därligen
345;Faulensee
346;Goppenstein
347;Münsingen
348;Netstal
349;Glarus
350;Ennenda
351;Benken SG
352;Schänis
353;Uznach
354;Schmerikon
355;Luchsingen-Hätzingen
356;Blumenau
357;Nieder- und Oberurnen
358;Näfels-Mollis
359;Schwanden GL
360;Mitlödi
361;Linthal
362;Leuggelbach
363;Linthal Braunwaldbahn
364;Rüti GL
365;Diesbach-Betschwanden
366;Nidfurn-Haslen
367;Dietlikon
368;Schlieren
369;Neuenhof
370;Uster
371;Hurden
372;Hedingen
373;Birmensdorf ZH
374;Aathal
375;Bubikon
376;Jona
377;Zürich Affoltern
378;Zürich Tiefenbrunnen
379;Regensdorf-Watt
380;Kloten Balsberg
381;Kloten
382;Bassersdorf
383;Herrliberg-Feldmeilen
384;Küsnacht Goldbach
385;Männedorf
386;Pfäffikon ZH
387;Wallisellen
388;Zürich Enge
389;Fehraltorf
390;Zürich Wollishofen
391;Bäch
392;Horgen
393;Illnau
394;Freienbach SBB
395;Altendorf
396;Nänikon-Greifensee
397;Stettbach
398;Oberglatt
399;Rümlang
