Id;Label;Longitude;Latitude
166;St-Ursanne;7.165944;47.367693
167;Courgenay;7.124191;47.405218
168;Porrentruy;7.080074;47.42091
169;Tecknau;7.887542;47.446172
170;Gland;6.269137;46.419976
171;Mendrisio S. Martino;8.982608;45.877397
172;Capolago-Riva S. Vitale;8.978893;45.902847
173;Maroggia-Melano;8.973936;45.932443
174;Melide;8.948352;45.955723
175;Lugano-Paradiso;8.946275;45.988951
176;Lamone-Cadempino;8.932122;46.039721
177;Taverne-Torricella;8.930324;46.056686
178;Mezzovico;8.928584;46.094282
179;Rivera-Bironico;8.925281;46.12398
180;Giubiasco;9.003583;46.173819
181;Effretikon;8.686156;47.425142
182;Bassersdorf;8.626136;47.438718
183;Zürich Wipkingen;8.529526;47.393444
184;Neuhausen;8.624914;47.683135
185;Dachsen;8.614259;47.666936
186;Marthalen;8.656189;47.631588
187;Andelfingen;8.677795;47.593869
188;Weinfelden;9.105985;47.566581
189;Märstetten;9.062181;47.582819
190;Müllheim-Wigoltingen;9.015942;47.588234
191;Hüttlingen-Mettendorf;8.974539;47.58234
192;Felben-Wellhausen;8.94316;47.577102
193;Frauenfeld;8.89676;47.557996
194;Islikon;8.846136;47.547666
195;Rickenbach-Attikon;8.789324;47.535056
196;Wiesendangen;8.775278;47.525846
197;Oberwinterthur;8.759411;47.507246
198;Le Locle-Col-des-Roches;6.726068;47.049879
199;Le Locle;6.746153;47.057855
200;Le Crêt-du-Locle;6.785177;47.077595
201;La Chaux-de-Fonds;6.826018;47.098644
202;Vallorbe;6.370564;46.712398
203;Travers;6.67656;46.942405
204;Courchavon;7.057635;47.439762
205;Courtemaîche;7.055371;47.455863
206;Grandgourt;7.048094;47.469914
207;Buix;7.029955;47.479322
208;Boncourt;7.016542;47.492621
209;Illnau;8.722573;47.408911
210;Fehraltorf;8.750295;47.385284
211;Pfäffikon ZH;8.784524;47.36707
212;Kempten;8.804705;47.332037
213;Dietlikon;8.619087;47.420359
214;Stettbach;8.596134;47.397276
215;Zürich Stadelhofen;8.548466;47.366611
216;Zürich Hardbrücke;8.517034;47.384935
217;Glattbrugg;8.559357;47.430569
218;Bülach;8.537702;47.52265
219;Allaman;6.399703;46.47574
220;Rolle;6.336408;46.462736
221;Coppet;6.187832;46.317381
222;Versoix;6.165746;46.279716
223;Bubikon;8.82259;47.270661
224;Rüti ZH;8.854785;47.260132
225;Jona;8.83489;47.230031
226;Zürich Altstetten;8.488376;47.391109
227;Urdorf;8.435405;47.391074
228;Urdorf Weihermatt;8.429969;47.380093
229;Birmensdorf ZH;8.438805;47.356945
230;Bonstetten-Wettswil;8.4685;47.326298
231;Hedingen;8.445953;47.298783
232;Affoltern am Albis;8.446582;47.276065
233;Mettmenstetten;8.45766;47.243638
234;Knonau;8.465892;47.220393
235;Steinhausen;8.478524;47.195776
236;Steinhausen Rigiblick;8.479691;47.187894
237;Hurden;8.800729;47.214148
238;Baden;8.30755;47.47581
239;Wettingen;8.315221;47.459085
240;Würenlos;8.359903;47.446137
241;Otelfingen;8.387611;47.454836
242;Otelfingen Golfpark;8.402097;47.455813
243;Buchs-Dällikon;8.436414;47.453436
244;Regensdorf-Watt;8.473096;47.437103
245;Zürich Affoltern;8.507418;47.421184
246;Zürich Seebach;8.549777;47.421864
247;Zürich Tiefenbrunnen;8.560994;47.350416
248;Zollikon;8.569779;47.337763
249;Küsnacht Goldbach;8.575951;47.326854
250;Küsnacht ZH;8.580869;47.319241
251;Erlenbach ZH;8.591241;47.305815
252;Winkel am Zürichsee;8.598975;47.297201
253;Herrliberg-Feldmeilen;8.612796;47.281733
254;Meilen;8.644879;47.269438
255;Uetikon;8.678774;47.25903
256;Opfikon;8.561656;47.429602
257;Kloten Balsberg;8.568605;47.441615
258;Kloten;8.583891;47.448966
259;Kemptthal;8.705548;47.453023
260;Männedorf;8.693156;47.253063
261;Stäfa;8.721919;47.240413
262;Uerikon;8.752692;47.235955
263;Feldbach;8.783031;47.239122
264;Kempraten;8.817372;47.238528
265;Rümlang;8.532636;47.453951
266;Oberglatt;8.510604;47.470204
267;Niederglatt;8.503296;47.487469
268;Glattfelden;8.523976;47.549539
269;Eglisau;8.516338;47.572519
270;Hüntwangen-Wil;8.512925;47.581212
271;Rafz;8.54425;47.604439
272;Lottstetten;8.566806;47.625736
273;Jestetten;8.573391;47.654301
274;Neuhausen Rheinfall;8.617458;47.679649
275;Lenzburg;8.171234;47.390829
276;Romanshorn;9.379002;47.564778
277;Amriswil;9.302197;47.550268
278;Sulgen;9.183278;47.538338
279;Muri AG;8.339689;47.2765
280;Boswil-Bünzen;8.315272;47.305175
281;Wohlen AG;8.270009;47.348659
282;Dottikon-Dintikon;8.234461;47.373537
283;Hendschiken;8.207373;47.389425
284;Othmarsingen;8.215175;47.406732
285;Mägenwil;8.234989;47.41427
286;Mellingen Heitersberg;8.276338;47.428072
287;Killwangen-Spreitenbach;8.354194;47.433329
288;Dietikon;8.404519;47.405836
289;Winterthur Wallrüti;8.760868;47.516719
290;Reutlingen;8.752132;47.529655
291;Seuzach;8.738865;47.535633
292;Schlieren;8.448545;47.399433
293;Glanzenberg;8.419585;47.398711
294;Winterthur Grüze;8.751037;47.498751
295;Winterthur Seen;8.766447;47.487583
296;Sennhof-Kyburg;8.76033;47.465174
297;Kollbrunn;8.774108;47.458144
298;Rikon;8.796307;47.445004
299;Turbenthal;8.843991;47.437481
300;Wila;8.848388;47.417781
301;Rupperswil;8.126902;47.403082
302;Neuenhof;8.331233;47.450661
303;Turgi;8.253655;47.491852
304;Winterthur Hegi;8.770258;47.501968
305;Räterschen;8.794997;47.498676
306;Schottikon;8.811705;47.500116
307;Elgg;8.863389;47.498457
308;Aadorf;8.902735;47.488413
309;Guntershausen;8.917016;47.474136
310;Eschlikon;8.958514;47.46149
311;Sirnach;9.000183;47.462095
312;Hettlingen;8.694593;47.545117
313;Henggart;8.68441;47.564116
314;Schloss Laufen am Rheinfall;8.614246;47.67656
315;Villeneuve;6.926999;46.398366
316;Niederhasli;8.488544;47.478277
317;Dielsdorf;8.458927;47.482931
318;Steinmaur;8.448105;47.489511
319;Schöfflisdorf-Oberweningen;8.411793;47.497971
320;Niederweningen Dorf;8.379089;47.507631
321;Niederweningen;8.369874;47.511331
322;Koblenz;8.226676;47.600284
323;Klingnau;8.248818;47.58209
324;Döttingen;8.255804;47.575646
325;Siggenthal-Würenlingen;8.240153;47.517922
326;Oberrieden Dorf;8.577265;47.276827
327;Horgen Oberdorf;8.590198;47.258726
328;Baar;8.523918;47.195492
329;Kreuzlingen;9.169684;47.652347
330;Luzern;8.310246;47.050754
331;Emmenbrücke;8.28204;47.070755
332;Emmenbrücke Gersag;8.277281;47.078832
333;Rothenburg Dorf;8.273606;47.091461
334;Rothenburg;8.248823;47.088292
335;Sempach-Neuenkirch;8.195967;47.116053
336;Nottwil;8.138613;47.138751
337;Oberkirch LU;8.114222;47.155232
338;Sursee;8.098622;47.170218
339;Baar Lindenpark;8.517043;47.183134
340;Baar Neufeld;8.517758;47.188488
341;Ebikon;8.342609;47.084292
342;Buchrain;8.356637;47.093644
343;Root D4;8.373674;47.104571
344;Gisikon-Root;8.395109;47.121522
345;Hünenberg Chämleten;8.449897;47.169152
346;Hünenberg Zythus;8.450074;47.173604
347;Cham;8.456675;47.178025
348;Cham Alpenblick;8.471441;47.182283
349;Zug Chollermüli;8.48576;47.180472
350;Zug Schutzengel;8.50685;47.173522
351;Brunnen;8.610003;46.999554
352;Schwyz;8.632135;47.026809
353;Steinen;8.607464;47.047816
354;Immensee;8.46266;47.091614
355;Sisikon;8.620833;46.949136
